Make,Model,Year,Engine Fuel Type,Engine HP,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Style,MSRP
Acura,CL,2001,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,29980
Acura,CL,2001,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,27980
Acura,CL,2002,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,28030
Acura,CL,2002,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,30030
Acura,CL,2003,premium unleaded (required),260,MANUAL,front wheel drive,2,Coupe,32700
Acura,CL,2003,premium unleaded (required),260,AUTOMATIC,front wheel drive,2,Coupe,30550
Acura,CL,2003,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,30350
Acura,CL,2003,premium unleaded (required),225,AUTOMATIC,front wheel drive,2,Coupe,28200
Acura,CL,2003,premium unleaded (required),260,MANUAL,front wheel drive,2,Coupe,30550
Acura,ILX,2015,premium unleaded (recommended),201,MANUAL,front wheel drive,4,Sedan,29350
Acura,ILX,2015,premium unleaded (recommended),150,AUTOMATIC,front wheel drive,4,Sedan,31750
Acura,ILX,2015,premium unleaded (recommended),150,AUTOMATIC,front wheel drive,4,Sedan,29350
Acura,ILX,2015,premium unleaded (recommended),150,AUTOMATIC,front wheel drive,4,Sedan,27050
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,34890
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,29900
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,29200
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,31890
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,32900
Acura,ILX,2016,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,27900
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,32990
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,29290
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,31980
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,34980
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,27990
Acura,ILX,2017,premium unleaded (recommended),201,AUTOMATED_MANUAL,front wheel drive,4,Sedan,29990
Acura,ILX Hybrid,2014,premium unleaded (recommended),111,AUTOMATIC,front wheel drive,4,Sedan,28900
Acura,ILX Hybrid,2014,premium unleaded (recommended),111,AUTOMATIC,front wheel drive,4,Sedan,34600
Acura,Integra,1999,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,2827
Acura,Integra,1999,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,3000
Acura,Integra,1999,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,2912
Acura,Integra,1999,regular unleaded,170,MANUAL,front wheel drive,4,Sedan,3381
Acura,Integra,1999,regular unleaded,170,MANUAL,front wheel drive,2,2dr Hatchback,3355
Acura,Integra,1999,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,2799
Acura,Integra,2000,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,3130
Acura,Integra,2000,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,3012
Acura,Integra,2000,regular unleaded,170,MANUAL,front wheel drive,4,Sedan,3622
Acura,Integra,2000,regular unleaded,170,MANUAL,front wheel drive,2,2dr Hatchback,3652
Acura,Integra,2000,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,3222
Acura,Integra,2000,regular unleaded,195,MANUAL,front wheel drive,2,2dr Hatchback,7398
Acura,Integra,2000,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,3086
Acura,Integra,2001,premium unleaded (required),170,MANUAL,front wheel drive,4,Sedan,22600
Acura,Integra,2001,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,21050
Acura,Integra,2001,regular unleaded,140,MANUAL,front wheel drive,2,2dr Hatchback,19400
Acura,Integra,2001,regular unleaded,140,AUTOMATIC,front wheel drive,2,2dr Hatchback,20200
Acura,Integra,2001,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,21600
Acura,Integra,2001,regular unleaded,140,AUTOMATIC,front wheel drive,2,2dr Hatchback,21850
Acura,Integra,2001,regular unleaded,140,AUTOMATIC,front wheel drive,4,Sedan,21000
Acura,Integra,2001,regular unleaded,140,AUTOMATIC,front wheel drive,4,Sedan,22400
Acura,Integra,2001,premium unleaded (required),195,MANUAL,front wheel drive,2,2dr Hatchback,24450
Acura,Integra,2001,regular unleaded,140,MANUAL,front wheel drive,4,Sedan,20200
Acura,Integra,2001,premium unleaded (required),170,MANUAL,front wheel drive,2,2dr Hatchback,22300
Acura,Legend,1993,regular unleaded,200,MANUAL,front wheel drive,4,Sedan,2000
Acura,Legend,1993,regular unleaded,200,MANUAL,front wheel drive,4,Sedan,2060
Acura,Legend,1993,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2042
Acura,Legend,1993,regular unleaded,200,MANUAL,front wheel drive,4,Sedan,2000
Acura,Legend,1993,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2000
Acura,Legend,1994,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2181
Acura,Legend,1994,regular unleaded,200,MANUAL,front wheel drive,4,Sedan,2028
Acura,Legend,1994,regular unleaded,200,AUTOMATIC,front wheel drive,4,Sedan,2063
Acura,Legend,1994,regular unleaded,230,MANUAL,front wheel drive,4,Sedan,2066
Acura,Legend,1994,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2384
Acura,Legend,1995,regular unleaded,200,AUTOMATIC,front wheel drive,4,Sedan,2356
Acura,Legend,1995,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2506
Acura,Legend,1995,regular unleaded,230,MANUAL,front wheel drive,2,Coupe,2265
Acura,Legend,1995,regular unleaded,200,AUTOMATIC,front wheel drive,4,Sedan,2144
Acura,Legend,1995,regular unleaded,200,MANUAL,front wheel drive,4,Sedan,2135
Acura,Legend,1995,regular unleaded,230,MANUAL,front wheel drive,4,Sedan,2066
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,44565
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,48840
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,50840
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,42565
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,48840
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,46840
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,56780
Acura,MDX,2015,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,54780
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,43015
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,49440
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,46515
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,44515
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,55230
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,45015
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,53230
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,52640
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,51440
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,50640
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,55230
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,49440
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,47440
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,48640
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,50640
Acura,MDX,2016,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,57230
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,56400
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,48360
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,50360
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,52360
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,58400
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,56400
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,43950
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,50360
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,all wheel drive,4,4dr SUV,45950
Acura,MDX,2017,premium unleaded (recommended),290,AUTOMATIC,front wheel drive,4,4dr SUV,54400
Acura,NSX,2004,regular unleaded,290,MANUAL,rear wheel drive,2,Coupe,89000
Acura,NSX,2004,regular unleaded,252,AUTOMATIC,rear wheel drive,2,Coupe,89000
Acura,NSX,2005,regular unleaded,290,MANUAL,rear wheel drive,2,Coupe,89000
Acura,NSX,2005,regular unleaded,252,AUTOMATIC,rear wheel drive,2,Coupe,89000
Acura,NSX,2017,premium unleaded (required),573,AUTOMATED_MANUAL,all wheel drive,2,Coupe,156000
Acura,RDX,2015,premium unleaded (recommended),273,AUTOMATIC,all wheel drive,4,4dr SUV,36495
Acura,RDX,2015,premium unleaded (recommended),273,AUTOMATIC,all wheel drive,4,4dr SUV,40195
Acura,RDX,2015,premium unleaded (recommended),273,AUTOMATIC,front wheel drive,4,4dr SUV,38795
Acura,RDX,2015,premium unleaded (recommended),273,AUTOMATIC,front wheel drive,4,4dr SUV,35095
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,36670
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,36870
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,41870
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,39070
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,35370
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,38170
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,40370
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,42020
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,40570
Acura,RDX,2016,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,43520
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,38370
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,39270
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,42220
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,42070
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,36870
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,37070
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,43720
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,all wheel drive,4,4dr SUV,40770
Acura,RDX,2017,premium unleaded (recommended),279,AUTOMATIC,front wheel drive,4,4dr SUV,40570
