Make,Model,Year,Engine Fuel Type,Transmission Type,MSRP
BMW,1 Series M,2011,premium unleaded (required),MANUAL,46135
BMW,1 Series,2011,premium unleaded (required),MANUAL,40650
BMW,1 Series,2011,premium unleaded (required),MANUAL,36350
BMW,1 Series,2011,premium unleaded (required),MANUAL,29450
BMW,1 Series,2011,premium unleaded (required),MANUAL,34500
BMW,1 Series,2012,premium unleaded (required),MANUAL,31200
BMW,1 Series,2012,premium unleaded (required),MANUAL,44100
BMW,1 Series,2012,premium unleaded (required),MANUAL,39300
BMW,1 Series,2012,premium unleaded (required),MANUAL,36900
BMW,1 Series,2013,premium unleaded (required),MANUAL,37200
BMW,1 Series,2013,premium unleaded (required),MANUAL,39600
BMW,1 Series,2013,premium unleaded (required),MANUAL,31500
BMW,1 Series,2013,premium unleaded (required),MANUAL,44400
BMW,1 Series,2013,premium unleaded (required),MANUAL,37200
BMW,1 Series,2013,premium unleaded (required),MANUAL,31500
BMW,1 Series,2013,premium unleaded (required),MANUAL,48250
BMW,1 Series,2013,premium unleaded (required),MANUAL,43550
Audi,100,1992,regular unleaded,MANUAL,2000
Audi,100,1992,regular unleaded,MANUAL,2000
Audi,100,1992,regular unleaded,AUTOMATIC,2000
Audi,100,1992,regular unleaded,MANUAL,2000
Audi,100,1992,regular unleaded,MANUAL,2000
Audi,100,1993,regular unleaded,MANUAL,2000
Audi,100,1993,regular unleaded,AUTOMATIC,2000
Audi,100,1993,regular unleaded,MANUAL,2000
Audi,100,1993,regular unleaded,MANUAL,2000
Audi,100,1993,regular unleaded,MANUAL,2000
Audi,100,1994,regular unleaded,AUTOMATIC,2000
Audi,100,1994,regular unleaded,MANUAL,2000
Audi,100,1994,regular unleaded,MANUAL,2000
Audi,100,1994,regular unleaded,AUTOMATIC,2000
Audi,100,1994,regular unleaded,AUTOMATIC,2000
FIAT,124 Spider,2017,premium unleaded (recommended),MANUAL,27495
FIAT,124 Spider,2017,premium unleaded (recommended),MANUAL,24995
FIAT,124 Spider,2017,premium unleaded (recommended),MANUAL,28195
Mercedes-Benz,190-Class,1991,regular unleaded,MANUAL,2000
Mercedes-Benz,190-Class,1991,regular unleaded,MANUAL,2000
Mercedes-Benz,190-Class,1992,regular unleaded,MANUAL,2000
Mercedes-Benz,190-Class,1992,regular unleaded,MANUAL,2000
Mercedes-Benz,190-Class,1993,regular unleaded,MANUAL,2000
Mercedes-Benz,190-Class,1993,regular unleaded,MANUAL,2000
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,32850
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,38650
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,48750
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,34850
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,40650
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,44150
BMW,2 Series,2016,premium unleaded (required),MANUAL,32850
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,46150
BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,50750
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,46450
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,49050
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,51050
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,44450
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,38950
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,33150
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,35150
BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,40950
Audi,200,1990,regular unleaded,AUTOMATIC,2000
Audi,200,1990,regular unleaded,MANUAL,2000
Audi,200,1990,regular unleaded,MANUAL,2000
Audi,200,1991,regular unleaded,MANUAL,2000
Audi,200,1991,regular unleaded,MANUAL,2000
Audi,200,1991,regular unleaded,AUTOMATIC,2000
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,25170
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,23950
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,29370
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,21995
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,26625
Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,30825
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,21995
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,27795
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,31785
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,29905
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,22490
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,27570
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,25690
Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,24490
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,29905
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,31785
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,26685
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,22490
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,25690
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,30900
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,27795
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,21995
Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,24490
Nissan,200SX,1996,regular unleaded,MANUAL,2000
Nissan,200SX,1996,regular unleaded,MANUAL,2000
Nissan,200SX,1996,regular unleaded,MANUAL,2000
Nissan,200SX,1997,regular unleaded,MANUAL,2000
Nissan,200SX,1997,regular unleaded,MANUAL,2000
Nissan,200SX,1997,regular unleaded,MANUAL,2000
Nissan,200SX,1998,regular unleaded,MANUAL,2000
Nissan,200SX,1998,regular unleaded,MANUAL,2000
Nissan,200SX,1998,regular unleaded,MANUAL,2073
Nissan,240SX,1996,regular unleaded,MANUAL,3713
Nissan,240SX,1996,regular unleaded,MANUAL,3520
Nissan,240SX,1997,regular unleaded,MANUAL,3910
Nissan,240SX,1997,regular unleaded,MANUAL,4182
Nissan,240SX,1997,regular unleaded,MANUAL,4107
Nissan,240SX,1998,regular unleaded,MANUAL,4299
Nissan,240SX,1998,regular unleaded,MANUAL,4693
Nissan,240SX,1998,regular unleaded,MANUAL,4107
Volvo,240,1991,regular unleaded,MANUAL,2000
Volvo,240,1991,regular unleaded,AUTOMATIC,2000
Volvo,240,1991,regular unleaded,MANUAL,2000
Volvo,240,1992,regular unleaded,MANUAL,2000
Volvo,240,1992,regular unleaded,MANUAL,2000
Volvo,240,1992,regular unleaded,MANUAL,2000
Volvo,240,1993,regular unleaded,MANUAL,2000
Volvo,240,1993,regular unleaded,MANUAL,2000
Mazda,2,2012,regular unleaded,MANUAL,16020
Mazda,2,2012,regular unleaded,MANUAL,14530
Mazda,2,2012,regular unleaded,AUTOMATIC,16860
Mazda,2,2012,regular unleaded,AUTOMATIC,15370
Mazda,2,2013,regular unleaded,AUTOMATIC,17050
Mazda,2,2013,regular unleaded,AUTOMATIC,15560
Mazda,2,2013,regular unleaded,MANUAL,16210
Mazda,2,2013,regular unleaded,MANUAL,14720
Mazda,2,2014,regular unleaded,AUTOMATIC,17050
Mazda,2,2014,regular unleaded,AUTOMATIC,15560
Mazda,2,2014,regular unleaded,MANUAL,16210
Mazda,2,2014,regular unleaded,MANUAL,14720
BMW,3 Series Gran Turismo,2015,premium unleaded (required),AUTOMATIC,47250
BMW,3 Series Gran Turismo,2015,premium unleaded (required),AUTOMATIC,41850
BMW,3 Series Gran Turismo,2015,premium unleaded (required),AUTOMATIC,41850
BMW,3 Series Gran Turismo,2016,premium unleaded (required),AUTOMATIC,43000
BMW,3 Series Gran Turismo,2016,premium unleaded (required),AUTOMATIC,49200
BMW,3 Series Gran Turismo,2017,premium unleaded (required),AUTOMATIC,49650
BMW,3 Series Gran Turismo,2017,premium unleaded (required),AUTOMATIC,43950
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,41950
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,50150
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,37500
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,43750
BMW,3 Series,2015,diesel,AUTOMATIC,39000
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,39500
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,39500
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,34950
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,45750
BMW,3 Series,2015,diesel,AUTOMATIC,43450
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,37500
BMW,3 Series,2015,diesel,AUTOMATIC,41000
BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,32950
BMW,3 Series,2016,diesel,AUTOMATIC,41850
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,47800
BMW,3 Series,2016,diesel,AUTOMATIC,39850
BMW,3 Series,2016,premium unleaded (required),AUTOMATIC,38350
