Make,Model,Year,MSRP
0,0,2001,29980
0,0,2001,27980
0,0,2002,28030
0,0,2002,30030
0,0,2003,32700
0,0,2003,30550
0,0,2003,30350
0,0,2003,28200
0,0,2003,30550
0,1,2015,29350
0,1,2015,31750
0,1,2015,29350
0,1,2015,27050
0,1,2016,34890
0,1,2016,29900
0,1,2016,29200
0,1,2016,31890
0,1,2016,32900
0,1,2016,27900
0,1,2017,32990
0,1,2017,29290
0,1,2017,31980
0,1,2017,34980
0,1,2017,27990
0,1,2017,29990
0,2,2014,28900
0,2,2014,34600
0,3,1999,2827
0,3,1999,3000
0,3,1999,2912
0,3,1999,3381
0,3,1999,3355
0,3,1999,2799
0,3,2000,3130
0,3,2000,3012
0,3,2000,3622
0,3,2000,3652
0,3,2000,3222
0,3,2000,7398
0,3,2000,3086
0,3,2001,22600
0,3,2001,21050
0,3,2001,19400
0,3,2001,20200
0,3,2001,21600
0,3,2001,21850
0,3,2001,21000
0,3,2001,22400
0,3,2001,24450
0,3,2001,20200
0,3,2001,22300
0,4,1993,2000
0,4,1993,2060
0,4,1993,2042
0,4,1993,2000
0,4,1993,2000
0,4,1994,2181
0,4,1994,2028
0,4,1994,2063
0,4,1994,2066
0,4,1994,2384
0,4,1995,2356
0,4,1995,2506
0,4,1995,2265
0,4,1995,2144
0,4,1995,2135
0,4,1995,2066
0,5,2015,44565
0,5,2015,48840
0,5,2015,50840
0,5,2015,42565
0,5,2015,48840
0,5,2015,46840
0,5,2015,56780
0,5,2015,54780
0,5,2016,43015
0,5,2016,49440
0,5,2016,46515
0,5,2016,44515
0,5,2016,55230
0,5,2016,45015
0,5,2016,53230
0,5,2016,52640
0,5,2016,51440
0,5,2016,50640
0,5,2016,55230
0,5,2016,49440
0,5,2016,47440
0,5,2016,48640
0,5,2016,50640
0,5,2016,57230
0,5,2017,56400
0,5,2017,48360
0,5,2017,50360
0,5,2017,52360
0,5,2017,58400
0,5,2017,56400
0,5,2017,43950
0,5,2017,50360
0,5,2017,45950
0,5,2017,54400
0,6,2004,89000
0,6,2004,89000
0,6,2005,89000
0,6,2005,89000
0,6,2017,156000
0,7,2015,36495
0,7,2015,40195
0,7,2015,38795
0,7,2015,35095
0,7,2016,36670
0,7,2016,36870
0,7,2016,41870
0,7,2016,39070
0,7,2016,35370
0,7,2016,38170
0,7,2016,40370
0,7,2016,42020
0,7,2016,40570
0,7,2016,43520
0,7,2017,38370
0,7,2017,39270
0,7,2017,42220
0,7,2017,42070
0,7,2017,36870
0,7,2017,37070
0,7,2017,43720
0,7,2017,40770
0,7,2017,40570
0,7,2017,35570
0,8,2010,54250
0,8,2010,50450
0,8,2010,50450
0,8,2010,46830
0,8,2011,51350
0,8,2011,51350
0,8,2011,55150
0,8,2011,47200
0,8,2012,48200
0,8,2012,52350
0,8,2012,56150
0,8,2012,52350
0,9,2015,50950
0,9,2015,60450
0,9,2015,48450
0,9,2015,54450
0,9,2015,56950
0,9,2016,54450
0,9,2016,59950
0,9,2016,60450
0,9,2016,65950
0,9,2016,50950
0,9,2017,54450
0,9,2017,60450
0,10,2004,21100
0,10,2004,20025
0,10,2004,22000
0,10,2004,20925
0,10,2004,23320
0,10,2005,20275
0,10,2005,22250
0,10,2005,21175
0,10,2005,21350
0,10,2005,23670
0,10,2006,20325
0,10,2006,21475
0,10,2006,23845
0,10,2006,21225
0,10,2006,22375
0,11,1997,2397
0,11,1997,2488
0,11,1998,2816
0,11,1999,2934
0,12,2012,42985
0,12,2012,41635
0,12,2012,39255
0,12,2012,45185
0,12,2012,35705
0,12,2012,42985
0,12,2012,39435
0,12,2013,39635
0,12,2013,45385
0,12,2013,39455
0,12,2013,43185
0,12,2013,41835
0,12,2013,43185
0,12,2013,35905
0,12,2013,37405
0,12,2014,37530
0,12,2014,36030
0,12,2014,43310
0,12,2014,39580
0,12,2014,39760
0,12,2014,45510
0,12,2014,43310
0,12,2014,41960
0,13,2015,41575
0,13,2015,35500
0,13,2015,42600
0,13,2015,39375
0,13,2015,44800
0,13,2015,31445
0,13,2015,35320
0,13,2016,41575
0,13,2016,35320
0,13,2016,42600
0,13,2016,35750
0,13,2016,44800
0,13,2016,39375
0,13,2016,31695
0,13,2017,42600
0,13,2017,35950
0,13,2017,44800
0,13,2017,31900
0,13,2017,41600
0,13,2017,39400
0,13,2017,35350
0,14,2012,30010
0,14,2012,35550
0,14,2012,38650
0,14,2012,33110
0,14,2012,31010
0,14,2012,31010
0,14,2013,30510
0,14,2013,31510
0,14,2013,31510
0,14,2013,33610
0,14,2013,39150
0,14,2014,31635
0,14,2014,30635
0,14,2014,39275
0,14,2014,33735
0,14,2014,31635
0,15,2012,35010
0,15,2012,31360
0,15,2013,35510
0,15,2013,31860
0,15,2014,35635
0,15,2014,31985
0,16,1992,2000
0,16,1992,2000
0,16,1993,2000
0,16,1993,2000
0,16,1994,2000
0,16,1994,2000
0,17,2011,46020
0,17,2011,56570
0,17,2011,50520
0,17,2012,46120
0,17,2012,56670
0,17,2012,50620
0,17,2013,50920
1,18,2015,63900
1,18,2015,68400
1,18,2015,53900
1,18,2016,55900
1,18,2016,65900
2,19,2003,156300
2,19,2003,151800
2,19,2003,156300
2,19,2003,141800
2,20,2013,198700
2,20,2013,183700
2,20,2014,200800
2,20,2014,185800
2,20,2015,198295
2,20,2015,188295
2,20,2015,203295
2,20,2015,213295
2,21,2016,235307
2,21,2016,213250
2,21,2016,198250
2,22,2010,283900
2,22,2010,279500
2,22,2010,270400
2,22,2010,266000
2,22,2011,282295
2,22,2011,268660
2,22,2011,273104
2,22,2011,286739
2,22,2012,295987
2,22,2012,275861
2,22,2012,284576
2,22,2012,296387
2,22,2012,290461
2,22,2012,284976
2,22,2012,290861
2,22,2012,275461
2,23,2010,197850
2,23,2011,207895
2,23,2012,226850
2,23,2012,207895
2,24,2014,198250
2,24,2015,203995
2,24,2016,206000
2,25,2004,234260
2,25,2005,234260
2,25,2005,255000
2,25,2006,260000
2,26,2011,191995
2,26,2011,180535
2,26,2012,180535
2,26,2012,195895
2,26,2012,180535
2,26,2012,195895
2,27,2015,182395
2,27,2016,198195
2,27,2016,183695
2,28,2014,145200
2,28,2014,131200
2,28,2014,130700
2,28,2014,122400
2,28,2014,116700
2,28,2014,136900
2,28,2014,136400
2,28,2014,150900
2,28,2015,147495
2,28,2015,132995
2,28,2015,98200
2,28,2015,117995
2,28,2015,103900
2,28,2015,153195
2,28,2015,138695
2,28,2015,112700
2,28,2015,123695
2,28,2015,138195
2,28,2015,118400
2,28,2015,132495
2,28,2016,148795
2,28,2016,134295
2,28,2016,103300
2,28,2016,126995
2,28,2016,117800
2,28,2016,141495
2,28,2016,135795
2,28,2016,154495
2,28,2016,139995
2,28,2016,109000
2,28,2016,121295
2,28,2016,123500
2,29,2014,296295
2,29,2014,278295
2,29,2015,301695
2,29,2015,283695
2,29,2016,287650
2,29,2016,305650
2,29,2016,302695
2,29,2016,320695
2,30,2012,208295
2,30,2012,223295
3,31,1992,2000
3,31,1992,2000
3,31,1992,2000
3,31,1992,2000
3,31,1992,2000
3,31,1993,2000
3,31,1993,2000
3,31,1993,2000
3,31,1993,2000
3,31,1993,2000
3,31,1994,2000
3,31,1994,2000
3,31,1994,2000
