Month,Price
2001-1,85.4
2001-2,82.5
2001-3,82.8
2001-4,83.9
2001-5,87.6
2001-6,93.2
2001-7,89.3
2001-8,83.6
2001-9,82.3
2001-10,84.2
2001-11,79.2
2001-12,81.2
2002-1,81.5
2002-2,81.2
2002-3,81.6
2002-4,86.3
2002-5,91.5
2002-6,90.9
2002-7,89.5
2002-8,89.1
2002-9,89.3
2002-10,90.0
2002-11,89.9
2002-12,87.8
2003-1,88.9
2003-2,89.5
2003-3,92.0
2003-4,90.3
2003-5,89.2
2003-6,86.4
2003-7,85.0
2003-8,85.3
2003-9,86.9
2003-10,86.5
2003-11,86.4
2003-12,88.7
2004-1,90.6
2004-2,90.8
2004-3,90.4
2004-4,92.5
2004-5,94.4
2004-6,100.4
2004-7,98.3
2004-8,99.5
2004-9,99.5
2004-10,99.1
2004-11,102.1
2004-12,98.6
2005-1,94.8
2005-2,94.5
2005-3,95.9
2005-4,98.7
2005-5,102.4
2005-6,101.9
2005-7,105.3
2005-8,108.5
2005-9,117.7
2005-10,117.2
2005-11,109.9
2005-12,105.8
2006-1,105.2
2006-2,108.4
2006-3,107.5
2006-4,110.6
2006-5,117.8
2006-6,117.2
2006-7,117.7
2006-8,122.7
2006-9,115.0
2006-10,106.7
2006-11,104.1
2006-12,104.3
2007-1,103.4
2007-2,102.6
2007-3,105.5
2007-4,111.1
2007-5,115.9
2007-6,117.3
2007-7,117.8
2007-8,116.9
2007-9,115.9
2007-10,115.2
2007-11,118.8
2007-12,119.2
2008-1,118.9
2008-2,116.9
2008-3,120.2
2008-4,120.7
2008-5,124.9
2008-6,130.5
2008-7,133.5
2008-8,128.8
2008-9,127.5
2008-10,122.9
2008-11,113.0
2008-12,101.2
2009-1,94.6
2009-2,101.4
2009-3,103.4
2009-4,106.4
2009-5,108.8
2009-6,116.0
2009-7,117.2
2009-8,116.7
2009-9,118.0
2009-10,115.6
2009-11,118.7
2009-12,124.1
2010-1,122.4
2010-2,125.1
2010-3,127.7
2010-4,131.8
2010-5,134.4
2010-6,132.7
2010-7,133.0
2010-8,132.4
2010-9,131.2
2010-10,131.0
2010-11,131.1
2010-12,137.5
2011-1,142.6
2011-2,144.5
2011-3,149.4
2011-4,150.7
2011-5,153.3
2011-6,151.7
2011-7,149.3
2011-8,151.9
2011-9,150.8
2011-10,150.2
2011-11,149.5
2011-12,147.9
2012-1,154.9
2012-2,157.0
2012-3,161.0
2012-4,164.9
2012-5,165.9
2012-6,162.9
2012-7,159.3
2012-8,163.1
2012-9,170.1
2012-10,167.9
2012-11,161.2
2012-12,159.4
2013-1,157.9
2013-2,159.4
2013-3,162.1
2013-4,162.0
2013-5,158.1
2013-6,157.4
2013-7,154.5
2013-8,160.1
2013-9,161.2
2013-10,156.6
2013-11,153.7
2013-12,153.8
2014-1,152.9
2014-2,152.1
2014-3,153.1
2014-4,153.2
2014-5,154.3
2014-6,155.0
2014-7,157.4
2014-8,156.3
2014-9,155.2
2014-10,154.3
2014-11,148.5
2014-12,142.4
2015-1,131.6
2015-2,128.4
2015-3,135.7
2015-4,138.9
2015-5,143.7
2015-6,144.6
2015-7,145.3
2015-8,143.6
2015-9,136.5
2015-10,134.2
2015-11,131.2
2015-12,129.5
2016-1,126.5
2016-2,121.9
2016-3,121.1
2016-4,126.0
2016-5,129.1
2016-6,132.8
2016-7,131.3
2016-8,127.5
2016-9,126.2
2016-10,128.8
2016-11,130.4
2016-12,131.4
2017-1,136.3
2017-2,136.7
2017-3,137.7
2017-4,136.6
2017-5,135.1
2017-6,134.3
2017-7,131.9
2017-8,132.4
2017-9,134.9
2017-10,134.9
2017-11,136.9
2017-12,138.3
2018-1,138.2
2018-2,138.1
2018-3,137.0
2018-4,137.6
2018-5,141.0
2018-6,147.6
2018-7,143.8
2018-8,144.9
2018-9,145.9
2018-10,147.9
2018-11,146.9
2018-12,136.9
2019-1,132.9
2019-2,134.5
2019-3,136.2
2019-4,142.3
2019-5,146.1
2019-6,143.9
2019-7,139.5
2019-8,141.3
2019-9,144.7
2019-10,143.9
2019-11,141.6
2019-12,141.7
2020-1,144.5
2020-2,141.9
2020-3,126.5
2020-4,126.9
2020-5,123.7
2020-6,121.8
2020-7,125.9
2020-8,127.5
2020-9,124.9
2020-10,126.4
2020-11,125.7
2020-12,127.3
2021-1,129.9
2021-2,133.8
2021-3,138.9
2021-4,142.9
2021-5,146.6
2021-6,150.0
2021-7,153.9
2021-8,155.0
2021-9,155.9
2021-10,164.6
2021-11,172.6
2021-12,172.5
