Make,Model,Year,MSRP
Acura,CL,2001,29980
Acura,CL,2001,27980
Acura,CL,2002,28030
Acura,CL,2002,30030
Acura,CL,2003,32700
Acura,CL,2003,30550
Acura,CL,2003,30350
Acura,CL,2003,28200
Acura,CL,2003,30550
Acura,ILX,2015,29350
Acura,ILX,2015,31750
Acura,ILX,2015,29350
Acura,ILX,2015,27050
Acura,ILX,2016,34890
Acura,ILX,2016,29900
Acura,ILX,2016,29200
Acura,ILX,2016,31890
Acura,ILX,2016,32900
Acura,ILX,2016,27900
Acura,ILX,2017,32990
Acura,ILX,2017,29290
Acura,ILX,2017,31980
Acura,ILX,2017,34980
Acura,ILX,2017,27990
Acura,ILX,2017,29990
Acura,ILX Hybrid,2014,28900
Acura,ILX Hybrid,2014,34600
Acura,Integra,1999,2827
Acura,Integra,1999,3000
Acura,Integra,1999,2912
Acura,Integra,1999,3381
Acura,Integra,1999,3355
Acura,Integra,1999,2799
Acura,Integra,2000,3130
Acura,Integra,2000,3012
Acura,Integra,2000,3622
Acura,Integra,2000,3652
Acura,Integra,2000,3222
Acura,Integra,2000,7398
Acura,Integra,2000,3086
Acura,Integra,2001,22600
Acura,Integra,2001,21050
Acura,Integra,2001,19400
Acura,Integra,2001,20200
Acura,Integra,2001,21600
Acura,Integra,2001,21850
Acura,Integra,2001,21000
Acura,Integra,2001,22400
Acura,Integra,2001,24450
Acura,Integra,2001,20200
Acura,Integra,2001,22300
Acura,Legend,1993,2000
Acura,Legend,1993,2060
Acura,Legend,1993,2042
Acura,Legend,1993,2000
Acura,Legend,1993,2000
Acura,Legend,1994,2181
Acura,Legend,1994,2028
Acura,Legend,1994,2063
Acura,Legend,1994,2066
Acura,Legend,1994,2384
Acura,Legend,1995,2356
Acura,Legend,1995,2506
Acura,Legend,1995,2265
Acura,Legend,1995,2144
Acura,Legend,1995,2135
Acura,Legend,1995,2066
Acura,MDX,2015,44565
Acura,MDX,2015,48840
Acura,MDX,2015,50840
Acura,MDX,2015,42565
Acura,MDX,2015,48840
Acura,MDX,2015,46840
Acura,MDX,2015,56780
Acura,MDX,2015,54780
Acura,MDX,2016,43015
Acura,MDX,2016,49440
Acura,MDX,2016,46515
Acura,MDX,2016,44515
Acura,MDX,2016,55230
Acura,MDX,2016,45015
Acura,MDX,2016,53230
Acura,MDX,2016,52640
Acura,MDX,2016,51440
Acura,MDX,2016,50640
Acura,MDX,2016,55230
Acura,MDX,2016,49440
Acura,MDX,2016,47440
Acura,MDX,2016,48640
Acura,MDX,2016,50640
Acura,MDX,2016,57230
Acura,MDX,2017,56400
Acura,MDX,2017,48360
Acura,MDX,2017,50360
Acura,MDX,2017,52360
Acura,MDX,2017,58400
Acura,MDX,2017,56400
Acura,MDX,2017,43950
Acura,MDX,2017,50360
Acura,MDX,2017,45950
Acura,MDX,2017,54400
Acura,NSX,2004,89000
Acura,NSX,2004,89000
Acura,NSX,2005,89000
Acura,NSX,2005,89000
Acura,NSX,2017,156000
Acura,RDX,2015,36495
Acura,RDX,2015,40195
Acura,RDX,2015,38795
Acura,RDX,2015,35095
Acura,RDX,2016,36670
Acura,RDX,2016,36870
Acura,RDX,2016,41870
Acura,RDX,2016,39070
Acura,RDX,2016,35370
Acura,RDX,2016,38170
Acura,RDX,2016,40370
Acura,RDX,2016,42020
Acura,RDX,2016,40570
Acura,RDX,2016,43520
Acura,RDX,2017,38370
Acura,RDX,2017,39270
Acura,RDX,2017,42220
Acura,RDX,2017,42070
Acura,RDX,2017,36870
Acura,RDX,2017,37070
Acura,RDX,2017,43720
Acura,RDX,2017,40770
Acura,RDX,2017,40570
Acura,RDX,2017,35570
Acura,RL,2010,54250
Acura,RL,2010,50450
Acura,RL,2010,50450
Acura,RL,2010,46830
Acura,RL,2011,51350
Acura,RL,2011,51350
Acura,RL,2011,55150
Acura,RL,2011,47200
Acura,RL,2012,48200
Acura,RL,2012,52350
Acura,RL,2012,56150
Acura,RL,2012,52350
Acura,RLX,2015,50950
Acura,RLX,2015,60450
Acura,RLX,2015,48450
Acura,RLX,2015,54450
Acura,RLX,2015,56950
Acura,RLX,2016,54450
Acura,RLX,2016,59950
Acura,RLX,2016,60450
Acura,RLX,2016,65950
Acura,RLX,2016,50950
Acura,RLX,2017,54450
Acura,RLX,2017,60450
Acura,RSX,2004,21100
Acura,RSX,2004,20025
Acura,RSX,2004,22000
Acura,RSX,2004,20925
Acura,RSX,2004,23320
Acura,RSX,2005,20275
Acura,RSX,2005,22250
Acura,RSX,2005,21175
Acura,RSX,2005,21350
Acura,RSX,2005,23670
Acura,RSX,2006,20325
Acura,RSX,2006,21475
Acura,RSX,2006,23845
Acura,RSX,2006,21225
Acura,RSX,2006,22375
Acura,SLX,1997,2397
Acura,SLX,1997,2488
Acura,SLX,1998,2816
Acura,SLX,1999,2934
Acura,TL,2012,42985
Acura,TL,2012,41635
Acura,TL,2012,39255
Acura,TL,2012,45185
Acura,TL,2012,35705
Acura,TL,2012,42985
Acura,TL,2012,39435
Acura,TL,2013,39635
Acura,TL,2013,45385
Acura,TL,2013,39455
Acura,TL,2013,43185
Acura,TL,2013,41835
Acura,TL,2013,43185
Acura,TL,2013,35905
Acura,TL,2013,37405
Acura,TL,2014,37530
Acura,TL,2014,36030
Acura,TL,2014,43310
Acura,TL,2014,39580
Acura,TL,2014,39760
Acura,TL,2014,45510
Acura,TL,2014,43310
Acura,TL,2014,41960
Acura,TLX,2015,41575
Acura,TLX,2015,35500
Acura,TLX,2015,42600
Acura,TLX,2015,39375
Acura,TLX,2015,44800
Acura,TLX,2015,31445
Acura,TLX,2015,35320
Acura,TLX,2016,41575
Acura,TLX,2016,35320
Acura,TLX,2016,42600
Acura,TLX,2016,35750
Acura,TLX,2016,44800
Acura,TLX,2016,39375
Acura,TLX,2016,31695
Acura,TLX,2017,42600
Acura,TLX,2017,35950
Acura,TLX,2017,44800
Acura,TLX,2017,31900
Acura,TLX,2017,41600
Acura,TLX,2017,39400
Acura,TLX,2017,35350
Acura,TSX,2012,30010
Acura,TSX,2012,35550
Acura,TSX,2012,38650
Acura,TSX,2012,33110
Acura,TSX,2012,31010
Acura,TSX,2012,31010
Acura,TSX,2013,30510
Acura,TSX,2013,31510
Acura,TSX,2013,31510
Acura,TSX,2013,33610
Acura,TSX,2013,39150
Acura,TSX,2014,31635
Acura,TSX,2014,30635
Acura,TSX,2014,39275
Acura,TSX,2014,33735
Acura,TSX,2014,31635
Acura,TSX Sport Wagon,2012,35010
Acura,TSX Sport Wagon,2012,31360
Acura,TSX Sport Wagon,2013,35510
Acura,TSX Sport Wagon,2013,31860
Acura,TSX Sport Wagon,2014,35635
Acura,TSX Sport Wagon,2014,31985
Acura,Vigor,1992,2000
Acura,Vigor,1992,2000
Acura,Vigor,1993,2000
Acura,Vigor,1993,2000
Acura,Vigor,1994,2000
Acura,Vigor,1994,2000
Acura,ZDX,2011,46020
Acura,ZDX,2011,56570
Acura,ZDX,2011,50520
Acura,ZDX,2012,46120
Acura,ZDX,2012,56670
Acura,ZDX,2012,50620
Acura,ZDX,2013,50920
Alfa Romeo,4C,2015,63900
Alfa Romeo,4C,2015,68400
Alfa Romeo,4C,2015,53900
Alfa Romeo,4C,2016,55900
Alfa Romeo,4C,2016,65900
Aston Martin,DB7,2003,156300
Aston Martin,DB7,2003,151800
Aston Martin,DB7,2003,156300
Aston Martin,DB7,2003,141800
Aston Martin,DB9,2013,198700
Aston Martin,DB9,2013,183700
Aston Martin,DB9,2014,200800
Aston Martin,DB9,2014,185800
Aston Martin,DB9,2015,198295
Aston Martin,DB9,2015,188295
Aston Martin,DB9,2015,203295
Aston Martin,DB9,2015,213295
Aston Martin,DB9 GT,2016,235307
Aston Martin,DB9 GT,2016,213250
Aston Martin,DB9 GT,2016,198250
